season,week,sleeper_id,gsis_id,name,position,team,projected_points,injury_status,practice_participation,depth_chart_order
2026,2,4983,00-0034827,DJ Moore,WR,BUF,13.12,Out,,1
2026,2,8138,,James Cook,RB,BUF,19.5,,,1
2026,2,5133,00-0034439,Tyler Conklin,TE,DET,0.32,,,3
2026,2,5906, 00-0035689,Dawson Knox,TE,BUF,4.25,,,2
2026,2,6588, 00-0035544,Tom Kennedy,WR,DET,0.47,,,4
2026,2,7891,,Brock Wright,TE,DET,2.31,,,2
2026,2,8148,,Jameson Williams,WR,DET,12.62,,,2
2026,2,9221,,Jahmyr Gibbs,RB,DET,26.13,,,1
2026,2,11729,,Sione Vaki,RB,DET,3.47,,,4
2026,2,4984,00-0034857,Josh Allen,QB,BUF,22.02,,,1
2026,2,7547,,Amon-Ra St. Brown,WR,DET,17.44,,,1
2026,2,8134,,Khalil Shakir,WR,BUF,10.95,,,2
2026,2,10236,,Dalton Kincaid,TE,BUF,12.16,,,1
2026,2,11237,,Jacob Saylors,RB,DET,0.89,,,3
2026,2,11637,,Keon Coleman,WR,BUF,3.07,,,3
2026,2,10859,,Sam LaPorta,TE,DET,11.19,,,1
2026,2,12535,,Isaac TeSlaa,WR,DET,3.98,,,3
2026,2,7670,,Joshua Palmer,WR,BUF,2.19,,,4
2026,2,11575,,Ray Davis,RB,BUF,4.27,,,3
2026,2,12658,,Jackson Hawes,TE,BUF,1.74,,,3
2026,2,3163,00-0033106,Jared Goff,QB,DET,16.32,,,1
2026,2,8250,,Tay Martin,WR,DET,0.7,,,5
2026,2,10232,,Michael Wilson,WR,ARI,9.92,,,2
2026,2,10871,,Luke Schoonmaker,TE,DAL,1.62,,,3
2026,2,11563,,Bo Nix,QB,DEN,15.74,,,1
2026,2,11566,,Jayden Daniels,QB,WAS,20.24,Out,,1
2026,2,11571,,Isaiah Davis,RB,NYJ,2.0,,,3
2026,2,11584,,Bucky Irving,RB,TB,13.82,,,1
2026,2,11592,,Erick All,TE,CIN,2.6,,,2
2026,2,11617,,Malachi Corley,WR,CLE,0.22,,,5
2026,2,11628,,Marvin Harrison,WR,ARI,9.26,,,1
2026,2,11651,,Isaac Guerendo,RB,SF,,PUP,,5
2026,2,12491,,Corey Kiner,RB,NE,0.57,,,4
2026,2,12499,,Elic Ayomanor,WR,TEN,3.05,,,4
2026,2,12506,,Harold Fannin,TE,CLE,9.78,,,1
2026,2,12517,,Colston Loveland,TE,CHI,11.88,,,1
2026,2,12529,,TreVeyon Henderson,RB,NE,9.54,,,1
2026,2,12533,,Jacory Croskey-Merritt,RB,WAS,12.48,,,1
2026,2,12540,,Chimere Dike,WR,TEN,1.46,,,5
2026,2,12543,,Tahj Brooks,RB,CIN,0.82,,,3
2026,2,12817,,Jake Briningstool,TE,KC,0.23,,,6
2026,2,13150,,Darius Cooper,WR,PHI,0.5,,,5
2026,2,13298,,KC Concepcion,WR,CLE,9.9,,,2
2026,2,13300,,Le'Veon Moss,RB,,0.0,NA,,
2026,2,13319,,Oscar Delp,TE,NO,1.2,,,3
2026,2,13322,,Sam Roush,TE,CHI,1.65,,,3
2026,2,13338,,Kevin Coleman,WR,MIA,1.42,,,5
2026,2,13429,,Seydou Traore,TE,MIA,0.9,,,3
2026,2,13533,,Barion Brown,WR,NO,1.92,,,7
2026,2,4602,00-0033757,Robert Tonyan,TE,PIT,0.08,,,3
2026,2,4881,00-0034796,Lamar Jackson,QB,BAL,20.36,,,1
2026,2,5045,00-0034348,Courtland Sutton,WR,DEN,10.7,,,2
2026,2,5947, 00-0034960,Jakobi Meyers,WR,JAX,7.43,,,3
2026,2,6001, 00-0035631,Drew Sample,TE,CIN,1.83,,,3
2026,2,6794,,Justin Jefferson,WR,MIN,17.79,,,1
2026,2,6801,,Tee Higgins,WR,CIN,13.84,,,2
2026,2,6806,,J.K. Dobbins,RB,DEN,12.9,Questionable,,1
2026,2,7600,,Pat Freiermuth,TE,PIT,8.85,,,1
2026,2,8111,,Cade Otton,TE,TB,6.92,,,1
2026,2,8136,,Rachaad White,RB,WAS,8.79,,,2
2026,2,8142,,Alec Pierce,WR,IND,11.58,Out,,1
2026,2,8151,,Kenneth Walker,RB,KC,17.0,,,1
2026,2,8180,,Jalen Nailor,WR,LV,7.79,,,2
2026,2,8188,,Tyquan Thornton,WR,KC,6.47,,,3
2026,2,8219,,Jelani Woods,TE,NYJ,0.31,,,4
2026,2,8676,,Rashid Shaheed,WR,SEA,7.6,,,2
2026,2,8917,,KaVontae Turpin,WR,DAL,3.81,,,4
2026,2,10227,,Payne Durham,TE,TB,0.5,,,2
2026,2,10234,,Derius Davis,WR,LAC,0.19,,,6
2026,2,11056,,Jared Wayne,WR,HOU,3.05,,,
2026,2,11370,,Chris Brooks,RB,GB,8.04,,,3
2026,2,11574,,Dylan Laube,RB,LV,0.73,,,4
2026,2,11593,,Brevyn Spann-Ford,TE,DAL,1.31,,,4
2026,2,11616,,Jacob Cowing,WR,SF,0.61,,,8
2026,2,11618,,Jalen McMillan,WR,TB,5.68,,,3
2026,2,11629,,Devontez Walker,WR,BAL,4.81,,,4
2026,2,11635,,Ladd McConkey,WR,LAC,13.1,,,1
2026,2,11646,,Jalen Coker,WR,CAR,12.91,,,2
2026,2,11834,,Devaughn Vele,WR,NO,9.56,,,2
2026,2,12467,,Jordan James,RB,SF,0.25,,,3
2026,2,12485,,Tez Johnson,WR,TB,1.69,,,5
2026,2,12490,,Bhayshul Tuten,RB,JAX,9.1,,,1
2026,2,12493,,Oronde Gadsden,TE,LAC,4.59,,,2
2026,2,12495,,Ollie Gordon,RB,MIA,2.64,,,3
2026,2,12496,,Tai Felton,WR,MIN,5.03,,,4
2026,2,12498,,Mason Taylor,TE,NYJ,4.77,Questionable,,2
2026,2,12512,,Quinshon Judkins,RB,CLE,12.44,,,1
2026,2,12518,,Tyler Warren,TE,IND,11.33,,,1
2026,2,12526,,Tetairoa McMillan,WR,CAR,14.6,,,1
2026,2,12542,,Efton Chism,WR,NE,1.25,,,6
2026,2,12545,,Tyler Shough,QB,NO,15.49,,,1
2026,2,13268,,Elijah Sarratt,WR,BAL,1.84,,,5
2026,2,13305,,Mike Washington,RB,LV,3.76,,,2
2026,2,13307,,Marlin Klein,TE,HOU,2.92,,,3
2026,2,13324,,Matt Hibner,TE,BAL,2.27,,,3
2026,2,13345,,Jonah Coleman,RB,DEN,7.21,,,3
2026,2,13434,,Will Kacmarek,TE,MIA,4.27,,,2
2026,2,1466,00-0030506,Travis Kelce,TE,KC,10.62,,,1
2026,2,2359,00-0032104,Ameer Abdullah,RB,JAX,0.27,,,5
2026,2,3198,00-0032764,Derrick Henry,RB,BAL,15.2,,,1
2026,2,3269,00-0032398,Chris Moore,WR,BAL,4.49,,,6
2026,2,4035,00-0033906,Alvin Kamara,RB,NO,5.27,,,2
2026,2,4039,00-0033908,Cooper Kupp,WR,SEA,7.57,,,3
2026,2,4147,00-0033526,Samaje Perine,RB,CIN,5.19,,,2
2026,2,4995,00-0034365,Ian Thomas,TE,LV,2.1,,,3
2026,2,5012,00-0034753,Mark Andrews,TE,BAL,10.51,,,1
2026,2,5854, 00-0035704,Drew Lock,QB,SEA,13.31,,,2
2026,2,6770,,Joe Burrow,QB,CIN,17.81,,,1
2026,2,6826,,Cole Kmet,TE,CHI,3.89,,,2
2026,2,6904,,Jalen Hurts,QB,PHI,20.79,,,1
2026,2,7021,,Rico Dowdle,RB,PIT,11.03,Out,,2
2026,2,7523,,Trevor Lawrence,QB,JAX,17.2,,,1
2026,2,7543,,Travis Etienne,RB,NO,11.75,,,1
2026,2,7828,,Noah Gray,TE,KC,4.21,,,2
2026,2,8110,,Jake Ferguson,TE,DAL,9.61,,,1
2026,2,8132,,Tyler Allgeier,RB,ARI,6.35,,,2
2026,2,8135,,Treylon Burks,WR,WAS,0.46,,,6
2026,2,8155,,Breece Hall,RB,NYJ,14.43,,,1
2026,2,8183,,Brock Purdy,QB,SF,19.99,,,1
2026,2,8200,,Kevin Austin,WR,NO,0.84,,,5
2026,2,8484,,Ko Kieft,TE,TB,0.04,,,3
2026,2,8489,,Drew Ogletree,TE,IND,0.63,,,4
2026,2,9225,,Tank Bigsby,RB,PHI,3.45,,,2
2026,2,9480,,Brenton Strange,TE,JAX,7.88,,,1
2026,2,9488,,Jaxon Smith-Njigba,WR,SEA,19.55,,,1
2026,2,9500,,Josh Downs,WR,IND,10.44,,,2
2026,2,9501,,DeMario Douglas,WR,NE,8.24,,,3
2026,2,9504,,Kayshon Boutte,WR,HOU,9.54,,,2
2026,2,10218,,Xavier Hutchinson,WR,HOU,7.84,,,5
2026,2,10219,,Chris Rodriguez,RB,JAX,6.59,,,2
2026,2,10225,,Jonathan Mingo,WR,DAL,0.51,,,5
2026,2,10226,,Andrei Iosivas,WR,CIN,5.21,,,3
2026,2,10229,,Rashee Rice,WR,KC,13.93,,,1
2026,2,11034,,Jalen Brooks,WR,ARI,0.32,,,4
2026,2,11157,,Brycen Tremayne,WR,CAR,1.06,,,5
2026,2,11581,,MarShawn Lloyd,RB,GB,11.82,,,2
2026,2,11596,,Ben Sinnott,TE,WAS,4.29,,,3
2026,2,11599,,Cade Stover,TE,HOU,1.83,,,2
2026,2,11626,,Xavier Legette,WR,CAR,4.85,,,3
2026,2,11631,,Brian Thomas,WR,JAX,8.32,,,1
2026,2,12497,,Tory Horton,WR,SEA,2.12,,,4
2026,2,12501,,Matthew Golden,WR,GB,11.84,,,3
2026,2,12502,,Gunnar Helm,TE,TEN,6.29,,,1
2026,2,12503,,Isaiah Bond,WR,CLE,2.05,,,4
2026,2,12522,,Cam Ward,QB,TEN,12.05,,,1
2026,2,12534,,Kyle Monangai,RB,CHI,7.07,,,2
2026,2,12539,,Arian Smith,WR,NYJ,0.33,,,5
2026,2,12641,,Jaylin Lane,WR,WAS,1.71,,,7
2026,2,13075,,Myles Price,WR,MIN,0.7,,,6
